id,Ano,Mes,Dia,Hora,Minuto
2019-5-13-12-18,2019,5,13,12,18
2019-5-13-12-57,2019,5,13,12,57
2019-5-14-6-59,2019,5,14,6,59
2019-5-14-7-1,2019,5,14,7,1
2019-5-20-15-53,2019,5,20,15,53
2019-7-3-11-3,2019,7,3,11,3
2019-7-16-12-15,2019,7,16,12,15
2019-8-6-15-56,2019,8,6,15,56
2019-8-12-15-2,2019,8,12,15,2
2019-8-14-16-17,2019,8,14,16,17
2019-8-19-14-8,2019,8,19,14,8
2019-8-20-16-8,2019,8,20,16,8
2019-8-23-11-22,2019,8,23,11,22
2019-8-27-15-55,2019,8,27,15,55
2019-8-27-15-59,2019,8,27,15,59
2019-8-27-16-22,2019,8,27,16,22
2019-10-7-12-58,2019,10,7,12,58
2019-10-16-15-13,2019,10,16,15,13
2019-10-24-15-47,2019,10,24,15,47
2019-11-18-13-34,2019,11,18,13,34
2019-11-26-12-36,2019,11,26,12,36
2019-11-26-12-39,2019,11,26,12,39
2019-12-12-15-20,2019,12,12,15,20
2020-2-5-14-6,2020,2,5,14,6
2020-2-5-15-14,2020,2,5,15,14
2020-8-12-13-41,2020,8,12,13,41
2020-9-14-10-49,2020,9,14,10,49
2020-9-14-11-41,2020,9,14,11,41
2020-9-14-11-42,2020,9,14,11,42
2020-9-14-11-46,2020,9,14,11,46
2020-9-18-13-55,2020,9,18,13,55
2020-10-1-14-32,2020,10,1,14,32
2020-10-1-17-5,2020,10,1,17,5
2021-5-25-14-25,2021,5,25,14,25
2021-6-11-10-57,2021,6,11,10,57
2021-6-14-11-5,2021,6,14,11,5
2021-6-22-12-35,2021,6,22,12,35
2021-6-22-15-29,2021,6,22,15,29
2021-7-27-15-34,2021,7,27,15,34
2021-8-11-15-25,2021,8,11,15,25
2021-8-23-14-48,2021,8,23,14,48
2021-8-25-14-13,2021,8,25,14,13
2021-9-14-14-30,2021,9,14,14,30
2021-9-15-15-17,2021,9,15,15,17
2021-9-17-14-1,2021,9,17,14,1
2021-9-29-12-27,2021,9,29,12,27
2021-10-13-12-53,2021,10,13,12,53
2021-10-13-12-56,2021,10,13,12,56
2021-10-13-16-4,2021,10,13,16,4
2021-10-15-12-29,2021,10,15,12,29
2021-10-18-15-29,2021,10,18,15,29
2021-11-8-14-1,2021,11,8,14,1
2021-11-9-14-23,2021,11,9,14,23
2021-11-17-14-54,2021,11,17,14,54
2021-11-18-14-39,2021,11,18,14,39
2021-11-22-12-47,2021,11,22,12,47
2021-11-30-16-23,2021,11,30,16,23
2021-12-16-13-55,2021,12,16,13,55
2021-12-23-16-53,2021,12,23,16,53
2022-1-10-14-8,2022,1,10,14,8
2022-1-24-16-39,2022,1,24,16,39
2022-2-17-16-32,2022,2,17,16,32
2022-3-4-14-17,2022,3,4,14,17
2022-3-10-15-14,2022,3,10,15,14
2022-3-11-14-33,2022,3,11,14,33
2022-3-28-15-27,2022,3,28,15,27
2022-4-19-14-50,2022,4,19,14,50
2022-5-2-15-42,2022,5,2,15,42
2022-5-2-15-41,2022,5,2,15,41
2022-5-5-15-23,2022,5,5,15,23
2022-5-11-10-22,2022,5,11,10,22
2022-5-18-16-15,2022,5,18,16,15
2022-5-20-14-25,2022,5,20,14,25
2022-6-3-14-10,2022,6,3,14,10
2022-7-18-12-32,2022,7,18,12,32
2022-7-18-13-11,2022,7,18,13,11
2022-8-10-14-16,2022,8,10,14,16
2022-8-17-13-55,2022,8,17,13,55
2022-8-19-13-49,2022,8,19,13,49
2022-8-22-16-22,2022,8,22,16,22
2022-9-21-16-40,2022,9,21,16,40
2022-11-4-14-5,2022,11,4,14,5
2022-11-17-14-28,2022,11,17,14,28
2024-3-18-15-54,2024,3,18,15,54
2024-4-3-13-40,2024,4,3,13,40
2024-6-4-14-15,2024,6,4,14,15
2024-6-4-14-21,2024,6,4,14,21
2024-6-4-14-26,2024,6,4,14,26
2024-6-4-14-28,2024,6,4,14,28
2024-6-11-14-42,2024,6,11,14,42
2024-6-11-14-43,2024,6,11,14,43
2024-6-11-14-45,2024,6,11,14,45
2024-6-15-9-20,2024,6,15,9,20
2024-6-20-16-44,2024,6,20,16,44
2024-6-21-15-33,2024,6,21,15,33
