Temperatura,RecNbr,Pressao_do_ar,Velocidade_do_vento,Precipitacao,PTemp_C,Umidade,BattV,Direcao_do_vento,Datetime
22.6,1,913.0,0.0,0.0,24.22,54.5,11.98,0.6,2017-05-05 17:28:45
22.6,2,913.0,0.0,0.0,24.22,54.5,11.98,0.6,2017-05-05 17:29:00
22.6,3,913.0,0.0,0.0,24.22,54.5,11.97,0.6,2017-05-05 17:29:15
22.5,4,913.0,0.0,0.0,24.22,55.3,11.98,0.6,2017-05-05 17:29:30
22.5,5,913.0,0.0,0.0,24.19,55.3,11.98,0.6,2017-05-05 17:29:45
22.5,6,913.0,0.0,0.0,24.19,55.3,11.97,0.6,2017-05-05 17:30:00
22.5,7,913.0,0.0,0.0,24.19,55.3,11.98,0.6,2017-05-05 17:30:15
22.5,8,913.0,0.0,0.0,24.19,57.9,11.98,0.6,2017-05-05 17:30:30
22.5,9,913.0,0.0,0.0,24.19,57.9,11.97,0.6,2017-05-05 17:30:45
22.5,10,913.0,0.0,0.0,24.19,57.9,11.97,0.6,2017-05-05 17:31:00
22.5,11,913.0,0.0,0.0,24.19,57.9,11.98,0.6,2017-05-05 17:31:15
22.6,12,913.0,0.0,0.0,24.19,59.4,11.98,0.6,2017-05-05 17:31:30
22.6,13,913.0,0.0,0.0,24.19,59.4,11.98,0.6,2017-05-05 17:31:45
22.6,14,913.0,0.0,0.0,24.22,59.4,11.98,0.6,2017-05-05 17:32:00
22.6,15,913.0,0.0,0.0,24.19,59.4,11.98,0.6,2017-05-05 17:32:15
22.7,16,913.0,0.0,0.0,24.22,61.2,11.98,0.6,2017-05-05 17:32:30
22.7,17,913.0,0.0,0.0,24.22,61.2,11.98,0.6,2017-05-05 17:32:45
22.7,18,913.0,0.0,0.0,24.22,61.2,11.97,0.6,2017-05-05 17:33:00
22.7,19,913.0,0.0,0.0,24.22,61.2,11.97,0.6,2017-05-05 17:33:15
22.7,20,913.0,0.0,0.0,24.22,62.3,11.98,0.6,2017-05-05 17:33:30
22.7,21,913.0,0.0,0.0,24.22,62.3,11.98,0.6,2017-05-05 17:33:45
22.7,22,913.0,0.0,0.0,24.22,62.3,11.97,0.6,2017-05-05 17:34:00
22.7,23,913.0,0.0,0.0,24.22,62.3,11.98,0.7,2017-05-05 17:34:15
22.8,24,913.0,0.0,0.0,24.22,63.3,11.98,0.7,2017-05-05 17:34:30
22.8,25,913.0,0.0,0.0,24.22,63.3,11.97,0.7,2017-05-05 17:34:45
22.8,26,913.0,0.0,0.0,24.22,63.3,11.98,0.7,2017-05-05 17:35:00
22.8,27,913.0,0.0,0.0,24.25,63.3,11.97,0.7,2017-05-05 17:35:15
22.9,28,913.0,0.0,0.0,24.25,64.2,11.98,0.7,2017-05-05 17:35:30
22.9,29,913.0,0.0,0.0,24.25,64.2,11.98,0.7,2017-05-05 17:35:45
22.9,30,913.0,0.0,0.0,24.25,64.2,11.98,0.7,2017-05-05 17:36:00
22.9,31,913.0,0.0,0.0,24.25,64.2,11.98,0.7,2017-05-05 17:36:15
23.0,32,913.0,0.0,0.0,24.28,64.5,11.98,0.7,2017-05-05 17:36:30
23.0,33,913.0,0.0,0.0,24.28,64.5,11.98,0.7,2017-05-05 17:36:45
23.0,34,913.0,0.0,0.0,24.28,64.5,11.98,0.7,2017-05-05 17:37:00
23.0,35,913.0,0.0,0.0,24.28,64.5,11.97,0.7,2017-05-05 17:37:15
23.1,36,913.0,0.0,0.0,24.28,64.5,11.98,0.7,2017-05-05 17:37:30
23.1,37,913.0,0.0,0.0,24.28,64.5,11.98,0.7,2017-05-05 17:37:45
23.1,38,913.0,0.0,0.0,24.28,64.5,11.97,0.7,2017-05-05 17:38:00
23.1,39,913.0,0.0,0.0,24.28,64.5,11.98,0.7,2017-05-05 17:38:15
23.1,40,913.0,0.0,0.0,24.3,64.8,11.98,0.7,2017-05-05 17:38:30
23.1,41,913.0,0.0,0.0,24.3,64.8,11.98,0.7,2017-05-05 17:38:45
23.1,42,913.0,0.0,0.0,24.3,64.8,11.97,0.7,2017-05-05 17:39:00
23.1,43,913.0,0.0,0.0,24.3,64.8,11.97,0.7,2017-05-05 17:39:15
23.2,44,913.0,0.0,0.0,24.3,64.5,11.97,0.7,2017-05-05 17:39:30
23.2,45,913.0,0.0,0.0,24.33,64.5,11.97,0.7,2017-05-05 17:39:45
23.2,46,913.0,0.0,0.0,24.33,64.5,11.97,0.7,2017-05-05 17:40:00
23.2,47,913.0,0.0,0.0,24.33,64.5,11.98,0.7,2017-05-05 17:40:15
23.3,48,913.0,0.0,0.0,24.33,64.2,11.97,0.7,2017-05-05 17:40:30
23.3,49,913.0,0.0,0.0,24.33,64.2,11.97,0.7,2017-05-05 17:40:45
23.3,50,913.0,0.0,0.0,24.33,64.2,11.98,0.7,2017-05-05 17:41:00
23.3,51,913.0,0.0,0.0,24.33,64.2,11.98,0.7,2017-05-05 17:41:15
23.4,52,913.0,0.0,0.0,24.33,64.0,11.98,0.7,2017-05-05 17:41:30
23.4,53,913.0,0.0,0.0,24.36,64.0,11.98,0.7,2017-05-05 17:41:45
23.4,54,913.0,0.0,0.0,24.36,64.0,11.98,0.7,2017-05-05 17:42:00
23.4,55,913.0,0.0,0.0,24.36,64.0,11.98,0.7,2017-05-05 17:42:15
23.5,56,913.0,0.0,0.0,24.36,63.7,11.98,0.7,2017-05-05 17:42:30
23.5,57,913.0,0.0,0.0,24.36,63.7,11.98,0.7,2017-05-05 17:42:45
23.5,58,913.0,0.0,0.0,24.39,63.7,11.98,0.7,2017-05-05 17:43:00
23.5,59,913.0,0.0,0.0,24.39,63.7,11.97,0.7,2017-05-05 17:43:15
23.5,60,913.0,0.0,0.0,24.39,63.0,11.98,0.6,2017-05-05 17:43:30
23.5,61,913.0,0.0,0.0,24.39,63.0,11.97,0.6,2017-05-05 17:43:45
23.5,62,913.0,0.0,0.0,24.39,63.0,11.98,0.6,2017-05-05 17:44:00
23.5,63,913.0,0.0,0.0,24.39,63.0,11.98,0.6,2017-05-05 17:44:15
23.6,64,913.0,0.0,0.0,24.42,62.6,11.97,0.6,2017-05-05 17:44:30
23.6,65,913.0,0.0,0.0,24.45,62.6,11.98,0.6,2017-05-05 17:44:45
23.6,66,913.0,0.0,0.0,24.45,62.6,11.98,0.6,2017-05-05 17:45:00
